#Reinsnosvatn, 48.5.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
1917-06-15 11:00:00Z;19,06312;0;3
1917-06-16 11:00:00Z;16,46433;0;3
1917-06-17 11:00:00Z;16,46433;0;3
1917-06-18 11:00:00Z;18,67722;0;3
1917-06-19 11:00:00Z;21,97948;0;3
1917-06-20 11:00:00Z;20,25059;0;3
1917-06-21 11:00:00Z;21,30942;0;3
1917-06-22 11:00:00Z;25,13172;0;3
1917-06-23 11:00:00Z;21,64307;0;3
1917-06-24 11:00:00Z;18,29625;0;3
1917-06-25 11:00:00Z;22,31865;0;3
1917-06-26 11:00:00Z;15,08479;0;3
1917-06-27 11:00:00Z;9,776252;0;3
1917-06-28 11:00:00Z;6,394539;0;3
1917-06-29 11:00:00Z;6,394539;0;3
1917-06-30 11:00:00Z;5,460176;0;3
1917-07-01 11:00:00Z;4,151699;0;3
1917-07-02 11:00:00Z;4,003652;0;3
1917-07-03 11:00:00Z;3,858951;0;3
1917-07-04 11:00:00Z;3,858951;0;3
1917-07-05 11:00:00Z;4,151699;0;3
1917-07-06 11:00:00Z;3,858951;0;3
1917-07-07 11:00:00Z;3,444615;0;3
1917-07-08 11:00:00Z;2,81808;0;3
1917-07-09 11:00:00Z;2,589138;0;3
1917-07-10 11:00:00Z;2,268141;0;3
1917-07-11 11:00:00Z;2,589138;0;3
1917-07-12 11:00:00Z;2,81808;0;3
1917-07-13 11:00:00Z;2,937132;0;3
1917-07-14 11:00:00Z;3,059279;0;3
1917-07-15 11:00:00Z;3,717565;0;3
1917-07-16 11:00:00Z;5,111953;0;3
1917-07-17 11:00:00Z;6,592583;0;3
1917-07-18 11:00:00Z;7,64025;0;3
1917-07-19 11:00:00Z;5,822866;0;3
1917-07-20 11:00:00Z;5,460176;0;3
1917-07-21 11:00:00Z;5,284271;0;3
1917-07-22 11:00:00Z;4,777958;0;3
1917-07-23 11:00:00Z;4,303123;0;3
1917-07-24 11:00:00Z;3,717565;0;3
1917-07-25 11:00:00Z;3,184555;0;3
1917-07-26 11:00:00Z;2,937132;0;3
1917-07-27 11:00:00Z;2,702093;0;3
1917-07-28 11:00:00Z;9,273;0;3
1917-07-29 11:00:00Z;8,086657;0;3
1917-07-30 11:00:00Z;6,009709;0;3
1917-07-31 11:00:00Z;5,111953;0;3
1917-08-01 11:00:00Z;4,777958;0;3
1917-08-02 11:00:00Z;6,009709;0;3
1917-08-03 11:00:00Z;7,64025;0;3
1917-08-04 11:00:00Z;7,64025;0;3
1917-08-05 11:00:00Z;6,592583;0;3
1917-08-06 11:00:00Z;5,111953;0;3
1917-08-07 11:00:00Z;5,111953;0;3
1917-08-08 11:00:00Z;3,579463;0;3
1917-08-09 11:00:00Z;3,184555;0;3
1917-08-10 11:00:00Z;3,059279;0;3
1917-08-11 11:00:00Z;3,059279;0;3
1917-08-12 11:00:00Z;3,184555;0;3
1917-08-13 11:00:00Z;3,579463;0;3
1917-08-14 11:00:00Z;3,858951;0;3
1917-08-15 11:00:00Z;3,858951;0;3
1917-08-16 11:00:00Z;3,444615;0;3
1917-08-17 11:00:00Z;3,184555;0;3
1917-08-18 11:00:00Z;3,184555;0;3
1917-08-19 11:00:00Z;10,03414;0;3
1917-08-20 11:00:00Z;20,65642;0;3
1917-08-21 11:00:00Z;22,66058;0;3
1917-08-22 11:00:00Z;14,75163;0;3
1917-08-23 11:00:00Z;6,794419;0;3
1917-08-24 11:00:00Z;7,422962;0;3
1917-08-25 11:00:00Z;12,25119;0;3
1917-08-26 11:00:00Z;14,42311;0;3
1917-08-27 11:00:00Z;11,38732;0;3
1917-08-28 11:00:00Z;7,422962;0;3
1917-08-29 11:00:00Z;6,394539;0;3
1917-08-30 11:00:00Z;6,009709;0;3
1917-08-31 11:00:00Z;5,284271;0;3
1917-09-01 11:00:00Z;7,422962;0;3
1917-09-02 11:00:00Z;7,000074;0;3
1917-09-03 11:00:00Z;4,943192;0;3
1917-09-04 11:00:00Z;3,579463;0;3
1917-09-05 11:00:00Z;2,937132;0;3
1917-09-06 11:00:00Z;2,702093;0;3
1917-09-07 11:00:00Z;2,268141;0;3
1917-09-08 11:00:00Z;2,81808;0;3
1917-09-09 11:00:00Z;7,422962;0;3
1917-09-10 11:00:00Z;5,460176;0;3
1917-09-11 11:00:00Z;4,003652;0;3
1917-09-12 11:00:00Z;4,003652;0;3
1917-09-13 11:00:00Z;4,457954;0;3
1917-09-14 11:00:00Z;3,444615;0;3
1917-09-15 11:00:00Z;3,579463;0;3
1917-09-16 11:00:00Z;3,579463;0;3
1917-09-17 11:00:00Z;6,394539;0;3
1917-09-18 11:00:00Z;11,95884;0;3
1917-09-19 11:00:00Z;10,56259;0;3
1917-09-20 11:00:00Z;10,83319;0;3
1917-09-21 11:00:00Z;10,83319;0;3
1917-09-22 11:00:00Z;18,67722;0;3
1917-09-23 11:00:00Z;18,29625;0;3
1917-09-24 11:00:00Z;17,92018;0;3
1917-09-25 11:00:00Z;14,75163;0;3
1917-09-26 11:00:00Z;21,64307;0;3
1917-09-27 11:00:00Z;26,2325;0;3
1917-09-28 11:00:00Z;26,98031;0;3
1917-09-29 11:00:00Z;26,98031;0;3
1917-09-30 11:00:00Z;25,13172;0;3
1917-10-01 11:00:00Z;18,29625;0;3
1917-10-02 11:00:00Z;17,54897;0;3
1917-10-03 11:00:00Z;14,42311;0;3
1917-10-04 11:00:00Z;14,42311;0;3
1917-10-05 11:00:00Z;9,273;0;3
1917-10-06 11:00:00Z;7,422962;0;3
1917-10-07 11:00:00Z;4,777958;0;3
1917-10-08 11:00:00Z;3,858951;0;3
1917-10-09 11:00:00Z;2,937132;0;3
1917-10-10 11:00:00Z;2,16699;0;3
1917-10-11 11:00:00Z;2,068707;0;3
1917-10-12 11:00:00Z;1,880616;0;3
1917-10-13 11:00:00Z;1,537388;0;3
1917-10-14 11:00:00Z;1,167316;0;3
1917-10-15 11:00:00Z;1,167316;0;3
1917-10-16 11:00:00Z;1,167316;0;3
1917-10-17 11:00:00Z;1,167316;0;3
1917-10-18 11:00:00Z;1,100814;0;3
1917-10-19 11:00:00Z;1,100814;0;3
1917-10-20 11:00:00Z;0,9750365;0;3
1917-10-21 11:00:00Z;0,9750365;0;3
1917-10-22 11:00:00Z;1,381706;0;3
1917-10-23 11:00:00Z;5,284271;0;3
1917-10-24 11:00:00Z;4,003652;0;3
1917-10-25 11:00:00Z;3,184555;0;3
1917-10-26 11:00:00Z;2,589138;0;3
1917-10-27 11:00:00Z;2,479183;0;3
1917-10-28 11:00:00Z;2,479183;0;3
1917-10-29 11:00:00Z;2,068707;0;3
1917-10-30 11:00:00Z;1,973261;0;3
1917-10-31 11:00:00Z;1,973261;0;3
1917-11-01 11:00:00Z;1,7036;0;3
1917-11-02 11:00:00Z;1,537388;0;3
1917-11-03 11:00:00Z;1,236275;0;3
1917-11-04 11:00:00Z;1,236275;0;3
1917-11-05 11:00:00Z;1,973261;0;3
1917-11-06 11:00:00Z;2,702093;0;3
1917-11-07 11:00:00Z;2,937132;0;3
1917-11-08 11:00:00Z;2,068707;0;3
1917-11-09 11:00:00Z;2,068707;0;3
1917-11-10 11:00:00Z;1,790741;0;3
1917-11-11 11:00:00Z;1,458248;0;3
1917-11-12 11:00:00Z;1,307726;0;3
1917-11-13 11:00:00Z;1,236275;0;3
1917-11-14 11:00:00Z;1,236275;0;3
1917-11-15 11:00:00Z;1,167316;0;3
1917-11-16 11:00:00Z;1,167316;0;3
1917-11-17 11:00:00Z;1,100814;0;3
1917-11-18 11:00:00Z;1,307726;0;3
1917-11-19 11:00:00Z;1,236275;0;3
1917-11-20 11:00:00Z;1,790741;0;3
1917-11-21 11:00:00Z;2,479183;0;3
1917-11-22 11:00:00Z;3,184555;0;3
1917-11-23 11:00:00Z;2,589138;0;3
1917-11-24 11:00:00Z;2,479183;0;3
1917-11-25 11:00:00Z;1,619161;0;3
1917-11-26 11:00:00Z;1,619161;0;3
1917-11-27 11:00:00Z;1,537388;0;3
1917-11-28 11:00:00Z;1,537388;0;3
1917-11-29 11:00:00Z;1,537388;0;3
1917-11-30 11:00:00Z;1,537388;0;3
1917-12-01 11:00:00Z;1,381706;0;3
1917-12-02 11:00:00Z;1,458248;0;3
1917-12-03 11:00:00Z;1,458248;0;3
1917-12-04 11:00:00Z;1,790741;0;3
1917-12-05 11:00:00Z;1,790741;0;3
